sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,16263.0,9245342.0,0.019391575188345656,0.002588887757511123,0.13925363617638736
Pythia WW no shoving,no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,16263.0,9245342.0,-0.004920545908168892,0.0009741237662781372,-0.07014660296955863
Pythia WW no shoving,no_shoving,thrust,standard,0_10,"[0,10)",1,185.0,3262.0,-0.10281988470665236,0.018446735440528494,-0.32065539868627246
Pythia WW no shoving,no_shoving,thrust,standard,0_10,"[0,10)",2,185.0,3262.0,-0.01864604660715205,0.04644805250222225,-0.13655052767071993
Pythia WW no shoving,no_shoving,thrust,standard,0_10,"[0,10)",3,185.0,3262.0,-0.0073968172656355,0.018267100424065617,-0.08600475141313706
Pythia WW no shoving,no_shoving,thrust,standard,10_15,"[10,15)",1,13721.0,577584.0,-0.07626559529765367,0.002167315489194506,-0.2761622626240842
Pythia WW no shoving,no_shoving,thrust,standard,10_15,"[10,15)",2,13721.0,577584.0,-0.0008358466065677026,0.004258113372116647,-0.028911011856517625
Pythia WW no shoving,no_shoving,thrust,standard,10_15,"[10,15)",3,13721.0,577584.0,-0.02289265787055736,0.002042655629351957,-0.15130319848092227
Pythia WW no shoving,no_shoving,thrust,standard,15_20,"[15,20)",1,198759.0,14626460.0,-0.07080575668919205,0.0005641783077890028,-0.2660935111745344
Pythia WW no shoving,no_shoving,thrust,standard,15_20,"[15,20)",2,198759.0,14626460.0,-0.003502166096321051,0.0008899421273424158,-0.0591791018546332
Pythia WW no shoving,no_shoving,thrust,standard,15_20,"[15,20)",3,198759.0,14626460.0,-0.023066027578033235,0.000455616621868369,-0.15187503935154464
Pythia WW no shoving,no_shoving,thrust,standard,20_25,"[20,25)",1,852004.0,96787512.0,-0.064000203213148,0.0003527411986192385,-0.2529826144484004
Pythia WW no shoving,no_shoving,thrust,standard,20_25,"[20,25)",2,852004.0,96787512.0,-0.0022963828397963345,0.0005432038977289513,-0.047920588892420075
Pythia WW no shoving,no_shoving,thrust,standard,20_25,"[20,25)",3,852004.0,96787512.0,-0.021457627201244722,0.0001837961716697694,-0.14648422168016842
Pythia WW no shoving,no_shoving,thrust,standard,25_30,"[25,30)",1,1494824.0,244779588.0,-0.05830347950185291,0.0001585446540124301,-0.24146113455761967
Pythia WW no shoving,no_shoving,thrust,standard,25_30,"[25,30)",2,1494824.0,244779588.0,0.0022953388538287023,0.0003070661475154268,0.047909694779122755
Pythia WW no shoving,no_shoving,thrust,standard,25_30,"[25,30)",3,1494824.0,244779588.0,-0.019951776777629025,0.00012320206785529638,-0.14125075850284494
