technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_no_shoving,shoving2x_over_no_shoving,delta_shoving_over_sigma,delta_shoving2x_over_sigma,effect_scale_2x_over_nominal
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{6},35_40,0.2929938606,0.009300229785,0.2724607552,0.0113744978,0.3087359711,0.007440881338,0.929919673545542,1.053728465394336,-1.3975102307886598,1.3216956623900578,-0.7666697361812616
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},0_10,0.5220601102,0.006525242613,0.5304941832,0.007110458465,0.5317087939,0.007918975726,1.0161553676199642,1.0184819401281275,0.8739272384164831,0.9403220839853897,1.1440123532248374
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},10_15,0.4915513181,0.001140886045,0.4948327501,0.0009915379001,0.4991148659,0.0011085972,1.0066756651425202,1.0153870969754195,2.1709125013259256,4.7545898163357485,2.304953386204566
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},15_20,0.4524870437,0.0005644417081,0.4584204566,0.0007889969348,0.4637513466,0.0005478580213,1.0131128901536768,1.0248941998601584,6.116236044417288,14.320204579257947,1.8984525583918044
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},20_25,0.4049176243,0.0005945528444,0.41224699,0.0006291521355,0.4180987702,0.000580780244,1.018100880920337,1.0325526603658877,8.467030749354754,15.859057995877189,1.7984019954141546
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},25_30,0.357019155,0.001413333828,0.365305151,0.001287315149,0.372093982,0.001094368576,1.0232088275487627,1.0422241406066854,4.334303118793379,8.43347118188644,1.8193138157440554
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},30_35,0.3074301345,0.003856722881,0.3206591142,0.003758608588,0.3262732079,0.002736257373,1.0430308490139244,1.0612922133695386,2.4564984517290327,3.984759285607964,1.4243784348690172
event_shape,thrustlt0p85,Thrust<0.85,thrust,v2{8},35_40,0.2907785958,0.009953002964,0.2712132354,0.01259652074,0.3070708854,0.00798044751,0.9327138906281216,1.0560298792116254,-1.2187131221832281,1.2770910915686429,-0.832710937438188
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},0_10,0.5369738872,0.002757361727,0.5460499162,0.003797863994,0.543559289,0.004262065195,1.0169021794473583,1.0122639144229877,1.933837718240265,1.2972983652880392,0.7255818376076081
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},10_15,0.51354939,0.0007764971999,0.5160613688,0.0006750658874,0.5183453065,0.0008462994879,1.004891406452649,1.0093387638918234,2.441390990176773,4.175621362320989,1.9092185411755995
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},15_20,0.503852186,0.000392656093,0.5065697263,0.0005247963824,0.5092441731,0.0004665048252,1.005393526862658,1.010701525665307,4.1461870048076195,8.84282244566265,1.984142461475228
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},20_25,0.49629481,0.0003901504443,0.4987464049,0.0002719938723,0.5015025352,0.0003638014958,1.0049397955622386,1.010493209066603,5.1547106805629435,9.76234932128915,2.124219299036709
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},25_30,0.4846124891,0.0006286855977,0.4872256805,0.0007070130183,0.4907648766,0.0004894159932,1.0053923319327842,1.0126954786316504,2.762054798927941,7.722079254290362,2.3543577787681533
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},30_35,0.4620236091,0.001400433628,0.4721966906,0.001161786097,0.4708417285,0.001074252356,1.022018531736542,1.0190858632033486,5.590819518843887,4.996095652347262,0.8668090784488435
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},35_40,0.4405905715,0.00260952467,0.439902698,0.005451310946,0.4394834039,0.004490398274,0.9984387466630116,0.9974870828573781,-0.11381646262313988,-0.21317995281287958,1.609551174743572
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{2},40_999,0.4345574139,0.02320746735,0.4293102555,0.01662608797,0.376341654,0.02025485776,0.9879252816033937,0.8660343649932606,-0.18379843773730975,-1.8899170807917605,11.094721268563175
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},0_10,0.4650030824,0.005711657999,0.4815533388,0.006526619526,0.4758319013,0.006491196728,1.0355917133163504,1.0232876282112147,1.9082648051406137,1.2524208859084085,0.6542991623984765
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},10_15,0.4466892747,0.001450812677,0.4496305111,0.0009765179702,0.4506726321,0.001344931129,1.006584524336241,1.0089175129684393,1.6818203800688942,2.0135186920027657,1.3543139204995593
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},15_20,0.4387383567,0.0007536631134,0.4410549561,0.0006794484316,0.4427950291,0.0007112883996,1.0052801387538224,1.0092462223510899,2.282991979200199,3.9145340449245274,1.7511324573424316
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},20_25,0.4319329108,0.0005885037343,0.4343404384,0.0005219841232,0.4359681484,0.0005855714908,1.0055738461687045,1.009342278624998,3.060516278510936,4.8605658494144475,1.676091937637613
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},25_30,0.4185225064,0.000838542705,0.4205192289,0.001039084443,0.4237853251,0.0007189173841,1.0047708844075678,1.012574756720419,1.4954099526443445,4.764739840886569,2.635728650325734
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},30_35,0.3906547347,0.002219272095,0.400941602,0.002044061806,0.4008734674,0.001516594746,1.0263323758456422,1.0261579645459753,3.409434434664408,3.801642317454922,0.9933765452578559
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{4},35_40,0.3542829196,0.004538459331,0.3572001545,0.008406312018,0.3545828592,0.007856061914,1.0082341957193242,1.0008466103879312,0.305367192928417,0.03305928584048932,0.10281640330025195
