group,axis,method,bin,v22,v22_err,c22_or_corr,c22_or_corr_err,c22_significance
gap,thrust,etagap2p0,0_10,0.2418270441,0.002887851917,0.05848031924,0.001399564717,41.78464812
gap,thrust,etagap2p0,10_15,0.2373015763,0.001282811045,0.05631203813,0.0006087281443,92.50769601
gap,thrust,etagap2p0,15_20,0.2328712945,0.001210797423,0.0542290398,0.000563952536,96.15887213
gap,thrust,etagap2p0,20_25,0.2110569553,0.001458902279,0.04454503837,0.0006154300646,72.38034169
gap,thrust,etagap2p0,25_30,0.1922623106,0.003904268439,0.03696479609,0.001501143337,24.62442805
gap,thrust,etagap2p0,30_35,0.1707618205,0.01278671614,0.02915959935,0.004355354451,6.695115099
gap,thrust,etagap2p0,35_40,0.1796972612,0.04072732841,0.0322911057,0.01416243419,2.280053363
gap,thrust,etagap2p0,40_999,0,0,-0.1498634798,0.1086020231,-1.379932671
gap,thrust,etagap2p5,0_10,0.224179765,0.003522543382,0.05025656702,0.001581995989,31.76782201
gap,thrust,etagap2p5,10_15,0.2141381527,0.001499968,0.04585514845,0.0006422658499,71.39590008
gap,thrust,etagap2p5,15_20,0.2108219533,0.001310074925,0.044445896,0.0005527142808,80.41387304
gap,thrust,etagap2p5,20_25,0.1901372045,0.001773156581,0.03615215654,0.0006738001277,53.65412539
gap,thrust,etagap2p5,25_30,0.1734663157,0.004988181542,0.03009056269,0.001731900629,17.37430092
gap,thrust,etagap2p5,30_35,0.1546491864,0.01295490725,0.02391637086,0.004000733063,5.977997153
gap,thrust,etagap2p5,35_40,0.1695523895,0.04654098416,0.02874801277,0.01518976935,1.892590474
gap,thrust,etagap2p5,40_999,0,0,-0.1448681131,0.1122912494,-1.290110439
gap,thrust,etagap3p0,0_10,0.205675661,0.004109286396,0.04230247753,0.001693156559,24.9843863
gap,thrust,etagap3p0,10_15,0.194884834,0.001850096188,0.03798009853,0.0007215726314,52.63517057
gap,thrust,etagap3p0,15_20,0.1949288447,0.001641968357,0.0379972545,0.000640810683,59.29560089
gap,thrust,etagap3p0,20_25,0.1778841862,0.001909003428,0.03164278369,0.0006793394976,46.57874863
gap,thrust,etagap3p0,25_30,0.1612970465,0.005100646105,0.02601673721,0.00164826177,15.7843479
