technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving_over_no_shoving,delta_over_sigma
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},25_30,0.4137505477,0.001023373793,0.4159526256,0.001608294071,1.005322235613321,1.1551701790487556
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},30_35,0.3160419689,0.004030754854,0.3209170905,0.00417519724,1.0154255512866475,0.8400481965970635
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},35_40,0.2630782175,0.0119780903,0.2259925773,0.01516116478,0.8590318858306846,-1.91935849268468
eta_gap,etagap1p6,|delta eta|>1.6,beam,gap v2{2},40_999,0.2926537664,0.05040880825,0.2031082815,0.06342583329,0.694022441598756,-1.105256899575612
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},0_10,0.200091337,0.001039873704,0.202633092,0.001304499986,1.0127029737424362,1.523605719439531
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},10_15,0.2085108778,0.0004277444155,0.2125846455,0.0004357213566,1.0195374348953992,6.671870370337273
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},15_20,0.2130180335,0.0004622849287,0.2169713726,0.0004139347692,1.0185587062045618,6.370974567026748
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},20_25,0.2014460766,0.0006993189822,0.2061273288,0.000590956794,1.0232382396272492,5.112911450745816
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},25_30,0.1806936849,0.00121230394,0.1868513859,0.001300370869,1.0340781195724011,3.463623845966108
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},30_35,0.1565962968,0.004407763432,0.1683863291,0.004794622187,1.0752893429852806,1.8102816306951446
eta_gap,etagap1p6,|delta eta|>1.6,thrust,gap v2{2},35_40,0.1526672821,0.01117998597,0.1264199974,0.01877387766,0.8280752474337788,-1.2012134172646602
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},0_10,0.6777431422,0.0005056341911,0.6782204775,0.000477213904,1.0007043011876897,0.6865476080274926
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},10_15,0.6667752103,0.000325914662,0.6692646605,0.0002374966303,1.003733567417541,6.173191738819343
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},15_20,0.6013790718,0.0002813888699,0.6032012497,0.0004997828707,1.0030299988567044,3.1770021088423146
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},20_25,0.4947960083,0.0006690092984,0.4986636816,0.0005328449204,1.0078167027120701,4.522134372594124
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},25_30,0.3830779675,0.001646207469,0.3847111374,0.00195920201,1.0042632832962393,0.6382067521600643
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},30_35,0.2809109524,0.005667285252,0.2836336144,0.006043502444,1.009692260044468,0.3286235074114784
eta_gap,etagap2p0,|delta eta|>2.0,beam,gap v2{2},35_40,0.2336732049,0.02285277557,0.2046129382,0.02412282139,0.875637145848895,-0.8745479328850556
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},0_10,0.18330439,0.00122208911,0.1856428733,0.001398636544,1.0127573774965237,1.2590543889505907
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},10_15,0.186348207,0.0005409252269,0.1904314028,0.000504872241,1.0219116452244696,5.518355801834048
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},15_20,0.1872404403,0.0005200621751,0.1903634334,0.0005549982537,1.0166790523190197,4.106047316499461
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},20_25,0.1742913546,0.0007630535443,0.1781653319,0.0008000488122,1.0222270192855567,3.503991523893643
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},25_30,0.1548736845,0.001560848838,0.1603721946,0.00155001777,1.0355031916348578,2.4996315834802454
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},30_35,0.1325099939,0.006658118461,0.1454988495,0.006145119639,1.0980217055160546,1.4335661177006163
eta_gap,etagap2p0,|delta eta|>2.0,thrust,gap v2{2},35_40,0.143615008,0.01293254227,0.1010118418,0.02668165324,0.7033515731169266,-1.4368373299864112
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},0_10,0.6662323784,0.000577080074,0.6665416217,0.0005974471076,1.0004641673236336,0.3722947733672717
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},10_15,0.6494913535,0.0004323061267,0.6518884394,0.000349232806,1.003690712566199,4.313286339327059
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},15_20,0.5732939133,0.0004230085075,0.5752400319,0.0005700930113,1.003394626307469,2.7414411212769996
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},20_25,0.452551187,0.00118618483,0.4564177939,0.0008423612398,1.0085440211208638,2.657724236561607
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},25_30,0.3311828499,0.002873973594,0.3304914707,0.002728415347,0.9979123943156816,-0.17446628708689457
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},30_35,0.2256817043,0.01055812495,0.2328858872,0.01299822355,1.0319218738725202,0.4302037421998723
eta_gap,etagap2p5,|delta eta|>2.5,beam,gap v2{2},35_40,0.2230747399,0.03262214248,0.2157770799,0.04528856688,0.9672860315638094,-0.13074846016682923
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},0_10,0.1587111107,0.001353967082,0.1610920124,0.001954676571,1.015001480926565,1.001299613725653
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},10_15,0.1576886772,0.0007602636648,0.1610807523,0.0006558207521,1.0215112153911834,3.378417247499609
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},15_20,0.1589666673,0.000618619536,0.1610035163,0.000719042394,1.0128130571936573,2.1473708571248213
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},20_25,0.1489694246,0.0009072090417,0.1525460782,0.001125024248,1.0240093133849695,2.474788196265679
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},25_30,0.1334398298,0.002171617335,0.1388426477,0.002060930254,1.0404887948980281,1.8046169102968042
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},30_35,0.1135565677,0.007503213463,0.1241588032,0.00766059546,1.0933652338630873,0.9887369205726199
eta_gap,etagap2p5,|delta eta|>2.5,thrust,gap v2{2},35_40,0.135470969,0.01840500193,0.09494032867,0.0318440533,0.7008167828931674,-1.10196708293145
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},0_10,0.6475355068,0.0007657251151,0.6479270026,0.0008739493997,1.0006045935641965,0.3369306493737296
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},10_15,0.6218935069,0.0005056160627,0.62391833,0.0005363480324,1.0032559000496617,2.7470117295469296
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},15_20,0.5306808204,0.0005697624424,0.5331391254,0.0007366455332,1.0046323607439724,2.6397155437498676
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},20_25,0.3948340539,0.002348839623,0.3995860404,0.001392613077,1.0120354018430324,1.7402436312363634
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},25_30,0.2651813821,0.005746190903,0.270757639,0.004197885437,1.0210280859683325,0.7835953367271922
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},30_35,0.1666553612,0.02413820863,0.1792700272,0.02423532922,1.075693130476981,0.3687924551175058
eta_gap,etagap3p0,|delta eta|>3.0,beam,gap v2{2},35_40,0.2112072811,0.05494202127,0.2715375747,0.05081942421,1.2856449516597654,0.8061082472152933
