sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,20_25,"[20,25)",3,1366844.0,70402814.0,-0.05373695031451442,0.00021730212789446948,-0.23181231700346386
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,25_30,"[25,30)",1,939430.0,81859160.0,-0.20495568793400762,0.0002717676144623438,-0.45272031977149824
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,25_30,"[25,30)",2,939430.0,81859160.0,0.10152723157211728,0.00022499735065974338,0.31863338113279543
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,25_30,"[25,30)",3,939430.0,81859160.0,-0.04388396066322938,0.00015028078060742378,-0.20948498911193944
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",1,486003.0,66969722.0,-0.16356418055087643,0.000391690977795795,-0.40443068695497925
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",2,486003.0,66969722.0,0.07788448407861093,0.00037806468992512414,0.27907791757609723
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",3,486003.0,66969722.0,-0.031631061600345296,0.00022092746697572281,-0.1778512344639342
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",1,201347.0,41620030.0,-0.12489890345100663,0.0004638331830281251,-0.3534103895629083
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",2,201347.0,41620030.0,0.057007788860651956,0.0006915046540049362,0.23876303914268632
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",3,201347.0,41620030.0,-0.02157259323428407,0.0003632723842098373,-0.14687611526141364
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",1,91050.0,30030586.0,-0.08284520908902676,0.0005187307275923953,-0.2878284369012672
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",2,91050.0,30030586.0,0.036558140265381435,0.0007893426668178864,0.19120183122915282
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",3,91050.0,30030586.0,-0.011678115087224737,0.0002970653249420106,-0.10806532786802961
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,30_35,"[30,35)",1,489992.0,63512382.0,-0.4206789315365309,0.0006039709759627392,-0.6485976653801113
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,30_35,"[30,35)",2,489992.0,63512382.0,0.23825798714535695,0.000839380992227654,0.48811677613595394
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,30_35,"[30,35)",3,489992.0,63512382.0,-0.12866101955865866,0.0006366482880287279,-0.35869348970765924
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,35_40,"[35,40)",1,203070.0,32278264.0,-0.342770216340631,0.0007519880273404641,-0.5854658114191049
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,35_40,"[35,40)",2,203070.0,32278264.0,0.16736515515329448,0.0009744346733040765,0.4091028662247363
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,35_40,"[35,40)",3,203070.0,32278264.0,-0.0749276185600316,0.0006029874671376447,-0.27372909702848836
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,40_45,"[40,45)",1,67788.0,12769512.0,-0.2798603242548345,0.0016693773757104407,-0.529018264575841
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,40_45,"[40,45)",2,67788.0,12769512.0,0.11466509115277859,0.001490776171412842,0.3386223429615633
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,40_45,"[40,45)",3,67788.0,12769512.0,-0.04243389908398223,0.0009069316057092029,-0.2059949006261617
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,45_50,"[45,50)",1,18902.0,4158002.0,-0.2232400967284287,0.0028395675214274154,-0.47248290628172857
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,45_50,"[45,50)",2,18902.0,4158002.0,0.07947325367621275,0.0023093502827935203,0.28191000989005827
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,45_50,"[45,50)",3,18902.0,4158002.0,-0.02155276327283152,0.0017288655427675046,-0.14680859400195725
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,50_999,"[50,inf)",1,5103.0,1290780.0,-0.1778152728005547,0.003142720582729093,-0.42168148263891636
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,50_999,"[50,inf)",2,5103.0,1290780.0,0.057055626231945024,0.0041866369945781755,0.23886319564123942
Pythia qqbar 200 GeV no shoving,no_shoving,beam,high_multiplicity,50_999,"[50,inf)",3,5103.0,1290780.0,-0.015714091897366708,0.002948878863947956,-0.1253558610411444
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,0_10,"[0,10)",1,61783.0,707428.0,-0.6404420449094467,0.002314123450299306,-0.8002762303788903
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,0_10,"[0,10)",2,61783.0,707428.0,0.5323319155847662,0.0021887632019650773,0.729610797332911
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,0_10,"[0,10)",3,61783.0,707428.0,-0.43566510918354945,0.001993374055970155,-0.6600493232960317
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,10_15,"[10,15)",1,558133.0,15145888.0,-0.6725410330485079,0.000501262858601275,-0.8200859912524465
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,10_15,"[10,15)",2,558133.0,15145888.0,0.5461948321281658,0.0005265573361410195,0.7390499523903413
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,10_15,"[10,15)",3,558133.0,15145888.0,-0.44050109024403195,0.0005434848141640351,-0.6637025615771209
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,15_20,"[15,20)",1,1285824.0,61347922.0,-0.6485561709110538,0.00048361945765154147,-0.805329852241337
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,15_20,"[15,20)",2,1285824.0,61347922.0,0.5051057048761978,0.0005299293513845968,0.710707889977449
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,15_20,"[15,20)",3,1285824.0,61347922.0,-0.3903506015584358,0.0003830626697626335,-0.6247804426824161
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,20_25,"[20,25)",1,1367556.0,98880216.0,-0.586587719279254,0.00030375695168516294,-0.7658901483106139
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,20_25,"[20,25)",2,1367556.0,98880216.0,0.4253995511622871,0.0003389815797380819,0.6522266102837933
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,20_25,"[20,25)",3,1367556.0,98880216.0,-0.30323550593983334,0.00039518425329218435,-0.5506682358188398
Pythia qqbar 200 GeV no shoving,no_shoving,beam,standard,25_30,"[25,30)",1,941849.0,94364560.0,-0.5049948952776339,0.0004750320052744893,-0.7106299284983949
